Underlagt-ID,Underlagt,Underlagt2,Enhet,Enhetskode,Fradato,Tildato
KVA,Kvalifisering,ADM,Administrasjon,KVA.ADM,31.01.2011 00:00:00,
KVA,Kvalifisering,SAK,Saksbehandler,KVA.SAK,31.01.2011 00:00:00,
LH,Løten Helsetun,LH,Løten Helsetun,LH,10.01.2008 00:00:00,
LH,Løten Helsetun,ADM,Administrasjon,LH.ADM,10.01.2008 00:00:00,
LH,Løten Helsetun,SAK,Saksbehandler,LH.SAK,10.01.2008 00:00:00,
LK,Løten kommune,LK,Løten kommune,LK,10.01.2008 00:00:00,
LK,Løten kommune,HMH,Helseadministrasjon-miljørettet helsevern,LK.HMH,10.01.2008 00:00:00,31.12.2013 00:00:00
LK,Løten kommune,HSA,Helseadministrasjon,LK.HSA,10.01.2008 00:00:00,
LKO,Løten kommune,LKO,Løten kommune,LKO,03.10.2008 00:00:00,
LK,Løten kommune,OF,Ordføreren,LK.OF,10.01.2008 00:00:00,
LK,Løten kommune,PLA,Planadministrasjon,LK.PLA,10.01.2008 00:00:00,
LK,Løten kommune,PS,Politisk sekretariat,LK.PS,10.01.2008 00:00:00,
LK,Løten kommune,RK,Rådmannen,LK.RK,10.01.2008 00:00:00,
LK,Løten kommune,SKA,Skoleadministrasjon,LK.SKA,10.01.2008 00:00:00,
LK,Løten kommune,SKAP,Skoleadministrasjon - PPT,LK.SKAP,10.01.2008 00:00:00,
LK,Løten kommune,STAB,Stabsadministrasjon,LK.STAB,10.01.2008 00:00:00,
LOB,Lund barnehage,LOB,Lund barnehage,LOB,10.01.2008 00:00:00,
LOB,Lund barnehage,ADM,Administrasjon,LOB.ADM,10.01.2008 00:00:00,
LOB,Lund barnehage,SAK,Saksbehandler,LOB.SAK,10.01.2008 00:00:00,
LOG,Logoped,LOG,Logoped,LOG,11.01.2016 00:00:00,
,Lund skole,LOS,Lund skole,LOS,11.11.1996 00:00:00,
LOS,Lund skole,ADM,Administrasjon,LOS.ADM,10.01.2008 00:00:00,
LOS,Lund skole,ANS,Ansettelsesråd,LOS.ANS,13.06.2001 00:00:00,
LOS,Lund skole,BHGL,Barnehage,LOS.BHGL,15.01.1997 00:00:00,
LOS,Lund skole,LOSADM,Lund oppvekstsenter,LOS.LOSADM,15.01.1997 00:00:00,
LOS,Lund skole,LSK,Lund skole,LOS.LSK,11.11.1996 00:00:00,
LOS,Lund skole,SAK,Saksbehandler,LOS.SAK,10.01.2008 00:00:00,
LOS,Lund skole,SFOL,Lundsenteret,LOS.SFOL,15.01.1997 00:00:00,
,,LUS,Løten ungdomsskole,LUS,11.11.1996 00:00:00,
LUS,Løten ungdomsskole,ADM,Administrasjon,LUS.ADM,10.01.2008 00:00:00,
LUS,Løten ungdomsskole,ANS,Ansettelsesråd,LUS.ANS,04.07.2001 00:00:00,
LUS,Løten ungdomsskole,LFB,Løten Folkebibliotek,LUS.LFB,03.02.2005 00:00:00,31.12.2015 00:00:00
LUS,Løten ungdomsskole,LUSADM,Løten ungdomsskole,LUS.LUSADM,15.01.1997 00:00:00,
LUS,Løten ungdomsskole,SAK,Saksbehandler,LUS.SAK,10.01.2008 00:00:00,
MH,Miljørettet helsevern,MH,Miljørettet helsevern,MH,13.03.2015 00:00:00,
NAV,NAV Løten,NAV,NAV Løten,NAV,28.06.2007 00:00:00,
,,OF,Ordføreren,OF,11.11.1996 00:00:00,
OF,Ordføreren,ANS,Ansettelsesråd,OF.ANS,02.04.2002 00:00:00,
OF,Ordføreren,OFADM,Ordføreren,OF.OFADM,15.01.1997 00:00:00,
OF,Ordføreren,PS,Politisk sekretariat,OF.PS,11.11.1996 00:00:00,
,,OSK,Løten offentlige servicekontor,OSK,11.11.1996 00:00:00,31.07.2005 00:00:00
OSK,Løten offentlige servicekontor,OSKADM,Løten offentlige servicekontor,OSK.OSKADM,15.01.1997 00:00:00,31.07.2005 00:00:00
PEL,Personal og lønn,PEL,Personal og lønn,PEL,06.03.2018 00:00:00,
PEL,Personal og lønn,ADM,Administrasjon,PEL.ADM,06.03.2018 00:00:00,
PEL,Personal og lønn,SAK,Saksbehandler,PEL.SAK,06.03.2018 00:00:00,
,,PK,Plan- og Kulturstaben,PK,30.12.1998 00:00:00,31.07.2005 00:00:00
PK,Plan- og Kulturstaben,ANS,Ansettelsesråd Plan og Kultur,PK.ANS,04.02.2000 00:00:00,31.07.2005 00:00:00
PK,Plan- og Kulturstaben,BO,Bygg og oppmåling,PK.BO,31.12.1998 00:00:00,31.07.2005 00:00:00
PK,Plan- og Kulturstaben,BUK,Barne og unges kommunestyre,PK.BUK,19.11.2001 00:00:00,31.07.2005 00:00:00
PK,Plan- og Kulturstaben,KU,Kultur,PK.KU,30.12.1998 00:00:00,31.07.2005 00:00:00
PK,Plan- og Kulturstaben,LFB,Løten folkebibliotek,PK.LFB,30.12.1998 00:00:00,31.07.2005 00:00:00
